onset	duration	trial_type	wav_onset	sample	value
5.8412	2.7480	listening	5.9220	7009	本当見間違いだと思うんすけど
9.1052	3.8360	listening	9.1860	10926	もし間違っていたら逮捕とかってされるんすかね
14.9292	2.1080	listening	15.0100	17915	通報者が漏売していたり
17.6172	3.3560	listening	17.6980	21141	不安を抱えていたりするのは普通である
22.1932	8.3160	listening	22.2740	26632	通信指令室の担当係官は柔らかな話し方で相手をなだめ話を聞き出そうとする
33.4572	3.2600	listening	33.5380	40149	なおもためらいながらようやく言った
38.2252	2.3320	listening	38.3060	45870	腕みたいなのが落ちてたんす
42.6092	2.0440	listening	42.6900	51131	人間の腕みたいなのか
46.4812	3.2600	listening	46.5620	55777	ナナ月ジューニ日午前ジューイチ時ニ分
50.4812	3.1320	listening	50.5620	60577	キャンプやハイキングに好敵の晴れた日だった
54.9932	5.6280	listening	55.0740	65992	通報場所は群馬県春名山陸にある木菅回廊を途上だった
61.6812	2.3640	listening	61.7620	74017	最寄りの警察署からは距離があり
64.6252	6.8120	listening	64.7060	77550	臨場指令を受けた地域課警察官が到着するまではゴジューイチ分を要した
72.9132	3.8360	listening	72.9940	87496	通報者である服部寛ニジューハチ歳は
77.7132	6.8760	listening	77.7940	93256	発見現場からゴヒャクメートルほど離れたキャンプ場ハルナ宿営地の事務所に移動しており
85.2972	5.5960	listening	85.3780	102357	警察官らはまず彼に接触して現場への案内を受けた
92.5292	5.7880	listening	92.6100	111035	キスゲカイロは湿地帯にかけられた全長ゴキロほどの木道で
98.8332	1.4040	listening	98.9140	118600	感情になっている
101.2012	3.2600	listening	101.2820	121441	夏の花の美しさで知られた景勝地で
105.1052	2.6200	listening	105.1860	126126	この時期は家族連れでにぎわう
108.6892	5.5000	listening	108.7700	130427	服部が案内したのは道の視点からジュー分ほど進んだ場所で
114.8972	1.3400	listening	114.9780	137877	服部の他にも
116.7852	4.0600	listening	116.8660	140142	人間の腕みたいなのに気づいた行楽客が数人
121.3612	1.1480	listening	121.4420	145633	木道の上で
123.0252	1.7240	listening	123.1060	147630	人だかりを作っていた
126.1612	4.9240	listening	126.2420	151393	彼らは到着した警察官を見ると安堵の表情を浮かべ
131.7932	1.3720	listening	131.8740	158152	その中の一人が
133.7452	2.9720	listening	133.8260	160494	あそこですと草むらを指さした
138.0012	5.2120	listening	138.0820	165601	人体を発見したという通報はイチ年に数件は寄せられる
144.1132	1.6600	listening	144.1940	172936	そのほとんど全てが
146.4812	4.2840	listening	146.5620	175777	人形や野生生物の死骸を見間違えたものだ
151.7612	2.3960	listening	151.8420	182113	しかし今回の事件では
154.6732	4.2520	listening	154.7540	185608	臨場した警察官は直ちに応援を要請した
160.3372	5.0200	listening	160.4180	192405	夏の盛りに青々と伸びるアシの草むらに隠れているのは
165.9692	1.2760	listening	166.0500	199163	不乱してはいるが
167.7612	3.3560	listening	167.8420	201313	明らかに人の上腕だったからである
175.6652	3.4520	listening	175.7460	210798	人体発見の報告からイチ時間半後には
179.7932	2.0760	listening	179.8740	215752	春日三六を管轄に含む
182.3852	4.3160	listening	182.4660	218862	高崎美濃和警察署に特別捜査本部が設置され
187.3132	3.9000	listening	187.3940	224776	県警捜査第イチ課の桂藩が派遣された
192.1452	3.6120	listening	192.2260	230574	発見された上腕は右手のものだった
196.8172	12.8600	listening	196.8980	236181	もともと新聞紙康付新聞ロク月サンジュー日付長官にくるまれていたが野生生物が食い荒らして露出した結果発見に至ったと思われた
210.8972	8.2520	listening	210.9780	253077	遺体は直ちに前橋大学医学部に送られ翌日法医学教室の桐野教授から
219.6652	2.6200	listening	219.7460	263598	特別捜査本部に所見が届く
223.4412	1.0840	listening	223.5220	268129	それによれば
225.1372	1.8840	listening	225.2180	270165	腐敗の進行度から見て
227.5692	4.6040	listening	227.6500	273083	腕が切断されてからはイチ週間程度が経過していると大ぼしく
232.7212	2.2680	listening	232.8020	279265	腐敗の程度が華々しいこと
235.5692	2.9080	listening	235.6500	282683	野生生物が食い荒らしたことなどか
239.0572	3.6120	listening	239.1380	286869	傷口の生活反応を確認できなかったため
243.3132	6.7160	listening	243.3940	291976	腕が切られたのが生前であったか死後であったかは判断できないとされた
251.4732	3.5800	listening	251.5540	301768	発見された部位が上腕骨であったことは
255.7932	2.4600	listening	255.8740	306952	特捜本部には幸運となった
259.3772	1.6280	listening	259.4580	311253	骨からは一般に
261.5852	2.4920	listening	261.6660	313902	年齢や血液型が分かるが
264.7212	4.9240	listening	264.8020	317665	いくつかの特徴的な部位からはそれ以上の情報も引き出せ
270.3212	6.7160	listening	270.4020	324385	上腕骨の場合持ち主の身長や性別を割り出す方法が確立されている
277.8732	8.1880	listening	277.9540	333448	腕の持ち主は身長ヒャクナナジューゴセンチ前後でヨンジュー歳からロクジュー歳の男性と推定され
286.6092	2.3960	listening	286.6900	343931	血液型はA型だった
291.5372	3.4520	listening	291.6180	349845	腕の持ち主が生存している可能性を考え
295.6652	1.7880	listening	295.7460	354798	県下すべての病院に
298.0652	5.1480	listening	298.1460	357678	最近右腕を失った人物が受信しなかったか紹介した
304.2732	8.0920	listening	304.3540	365128	推定された特徴に一致する行方不明者が言いないか行方不明者届を改めるよう命じる一方で
312.9772	6.2680	listening	313.0580	375573	翌朝から山狩りを行うため各警察署に応援を要請した
320.3372	3.9000	listening	320.4180	384405	事件は夕方のニュースから報道され始めた
325.1052	6.1400	listening	325.1860	390126	群馬県でも屈指の人気スポットで損壊した人体が発見されたことは
331.8252	2.9080	listening	331.9060	398190	人々の猟奇的な興味をあおり立て
335.2812	5.1480	listening	335.3620	402337	インターネット上には根拠のない憶測が数多く流れた
341.9052	3.7080	listening	341.9860	410286	夜に入っていくつか成果が上がり始める
346.7052	5.4360	listening	346.7860	416046	県下の病院に腕を失った患者は来ていないと報告が入った
352.7532	7.7720	listening	352.8340	423304	身長ヒャクナナジューゴセンチに該当する行方不明者は多数存在しそのリストが作られた
361.6492	4.8280	listening	361.7300	433979	二十時過ぎ桐野教授から桂に電話があった
368.1452	1.9800	listening	368.2260	441774	上腕骨の末端部に
370.7052	2.4920	listening	370.7860	444846	金属による作家痕が見つかった
374.2572	1.5960	listening	374.3380	449109	警察署の会議室で
376.4012	5.0840	listening	376.4820	451681	桂は左手にスマートフォンを持ち右手でメモを取る
383.6972	3.0040	listening	383.7780	460437	骨で金属をこすったということでしょうか
387.7292	1.2120	listening	387.8100	465275	可能性はある
389.8732	3.1640	listening	389.9540	467848	だがもっと素直な解釈をするなら
393.6492	2.8120	listening	393.7300	472379	金属が骨をこすったのだろう
397.5532	1.9480	listening	397.6340	477064	ひらたく言えばまあ
400.1132	1.3400	listening	400.1940	480136	のこぎりだろうな
403.0252	8.6680	listening	403.1060	483630	桂を含め特捜本部は発見された右上腕について事件性があるとは断定していなかった
412.7852	5.0200	listening	412.8660	495342	現場は整備された行楽地ではあるが都市部ではない
418.9612	3.3240	listening	419.0420	502753	事故や病気で死亡した行楽客の死体を
422.8972	8.2520	listening	422.9780	507477	野生動物が食い荒らし上腕だけが人の目につくところに運ばれた可能性も否定できなかったからだ
431.9852	4.9880	listening	432.0660	518382	しかしサッカコンの発見により状況は変わった
439.4412	1.5000	listening	439.5220	527329	織田指導官にあて
441.7132	3.3240	listening	441.7940	530056	事件の恐れが大であると報告した
449.5532	8.7640	listening	449.6340	539464	翌朝春名三六のキャンプ場にはヒャク人を超える警察官と同程度の報道陣が集まった
459.3772	5.8520	listening	459.4580	551253	発見された右上案は人為的に切断されたものだという情報は
465.8412	3.8040	listening	465.9220	559009	午前ジュー時からの記者会見で初めて発表される
470.5132	3.9960	listening	470.5940	564616	にもかかわらずこれだけの記者が集まっているのは
475.0892	4.3480	listening	475.1700	570107	情報がリークされたためだろうと桂は考えた
480.3372	7.2280	listening	480.4180	576405	捜査に支障をきたさない程度に情報を漏らし記者との関係を構築していくのは
488.0812	3.1960	listening	488.1620	585697	警察上層部が担う役割の一つだ
492.5292	6.1080	listening	492.6100	591035	山狩りには群馬県警が要する警察犬が全頭投入された
499.6652	1.7240	listening	499.7460	599598	季節は真夏である
502.2572	5.5960	listening	502.3380	602709	山狩りが開始されたハチ時にはすでに容赦ない陽光が照りつけ
508.4972	7.0680	listening	508.5780	610197	広大な原三六に対して百人少々という人員はいかにも心もとなく
516.0812	5.0520	listening	516.1620	619297	形状を手にした警察官たちは皆一応に無表情だった
522.2252	7.8360	listening	522.3060	626670	山狩りの目的は右上腕の持ち主の身元特定に至る物品の発見並びに
530.6092	2.6200	listening	530.6900	636731	人体の他の部位の発見である
534.5772	7.6760	listening	534.6580	641493	桂は山狩りの成果を楽観視してはいなかったが同時に悲観もしていなかった
543.3132	2.1400	listening	543.3940	651976	腕を切り取った何者かが
546.1292	9.0840	listening	546.2100	655355	このハルナ山六に右上腕だけ捨てていき他の部位は全く別の場所に持っていったとは考えにくい
556.2412	2.3000	listening	556.3220	667489	それだけの慎重さがあるならば
559.0892	6.1400	listening	559.1700	670907	整備されたUFO堂から発見されるような位置に上腕を捨てるとは思えない
565.9052	2.9720	listening	565.9860	679086	また山はあまりに雄大で
569.4892	5.7240	listening	569.5700	683387	人間の死体ごときたやすく隠し通してくれそうな頼むしさがある
578.0012	1.4680	listening	578.0820	693601	死体は出るだろう
580.3692	2.0760	listening	580.4500	696443	しかしなぜなのか
584.9452	2.4600	listening	585.0260	701934	どうして死体を切り刻んだのか
588.2092	1.5640	listening	588.2900	705851	それがわからなければ
590.4812	2.1720	listening	590.5620	708577	たとえ全ての部位が見つかり
593.2012	1.9800	listening	593.2820	711841	被疑者の特定に至っても
595.8252	3.1640	listening	595.9060	714990	この事件の真相は見えてこないだろう
600.1772	6.5560	listening	600.2580	720213	結局は全てこのなぜに着着していくだろうと桂は予感する
608.3692	1.9480	listening	608.4500	730043	山狩りの開始にあたって
610.8652	2.6840	listening	610.9460	733038	本来くんじなどは必要ない
614.6732	2.8440	listening	614.7540	737608	現場指揮官が始めろと言えば始まる
619.6332	1.4360	listening	619.7140	743560	今回に限っては
621.9052	2.3640	listening	621.9860	746286	特捜本部副本部長である
624.8492	2.3000	listening	624.9300	749819	高崎美濃は警察署長から
627.6652	2.7160	listening	627.7460	753198	特に注意事項の伝達があった
631.4732	1.6920	listening	631.5540	757768	高崎美濃和所長は
633.7772	6.2040	listening	633.8580	760533	木継回廊を含む春名山一帯は県立公園に指定されており
640.7532	3.2600	listening	640.8340	768904	警察の立ち入りが禁止されるわけではないが
644.6892	5.5960	listening	644.7700	773627	同植物を無用に傷つけないよう配慮が求められる旨を訓示し
650.9932	2.3320	listening	651.0740	781192	山狩りに当たる警察官たちに
653.9052	4.7640	listening	653.9860	784686	徹底的に創作しかつ何も荒らすなと命じた
659.7292	3.6120	listening	659.8100	791675	次で織田指導官が開始を命じると
663.9852	3.5800	listening	664.0660	796782	警察官たちは湿地へと前進を始め
668.2732	4.5720	listening	668.3540	801928	新聞社や雑誌社のカメラマンがシャッターを切った
