onset	duration	trial_type	wav_onset	sample	value
21.1508	1.5600	overt	21.1800	25381	重い気がする
64.5008	14.5800	overt	64.5300	77401	五木は上白にニつの事件に関する疑問を尋ねた気になることといえば犯行につながる動機が出てきた以上まずそれについて考えるべきだと思っています
79.0808	14.5800	overt	79.1100	94897	おそらく返すあてのないような体験を借りていた人物荘海老原さんについてです大方哲夫さんに迫られてこんな場所に呼び出し人知れず彼を始末しようとしたんでしょう
94.3508	7.7700	overt	94.3800	113221	山小屋で哲夫さんを殺した犯人は海原さんに違いありません私はそう考えていますよ
106.2608	3.7500	overt	106.2900	127513	海老原さんについて何か分かったら教えてもらえませんか
115.6508	3.3000	overt	115.6800	138781	あればいいも調べた方が良さそうだ
125.5208	8.9700	overt	125.5500	150625	結城先生が誰かと話しているみたいだ哲夫さんはこんな場所で待ち合わせをそうなんです本当にごめんなさい
135.2408	2.7300	overt	135.2700	162289	いいえ結城先生は悪くないわ
142.2308	2.0400	overt	142.2600	170677	どこか様子のおかしかった
153.4808	3.9000	overt	153.5100	184177	僕も哲夫さんを追いかけたんですけど見つけられなくて
160.9808	3.2700	overt	161.0100	193177	塩さんは哲夫さんを追いかけられたんですよね
164.7608	11.6700	overt	164.7900	197713	大したことじゃないの結城先生がうちに来ておしゃべりしてたっていうだけよね私何かあるとすぐ千代さんに相談してしまって
176.9708	10.0200	overt	177.0000	212365	でも今日は行くべきじゃなかったんですいいのよ結城先生と私はお友達でしょうそういうことだったんですねちなみにそれはいつのこと
186.9908	10.0200	overt	187.0200	224389	いつでしたっけ私が写真館にお邪魔したのはサンジューナナ分頃だったような
197.5508	3.2400	overt	197.5800	237061	ゴジューロク分頃に出ていったんじゃないかしら
204.5108	10.0500	overt	204.5400	245413	なんだか皆さんは巻き込んで騒ぎになってるみたいだけどどうせあの人のことだからすぐに帰ってくるわよ私ももう少し探してみるわね
215.4608	3.9900	overt	215.4900	258553	非常に振る舞っているでも心の中ではきっと
230.5508	5.7600	overt	230.5800	276661	私が気になっているのは私を襲った犯人は誰なんだろうということです
249.2108	7.3800	overt	249.2400	299053	でもあなたが倒れている私の第一発見者でしたよねそれなら疑った方がいいのかなって
258.6608	2.0700	overt	258.6900	310393	身元も分からないですし
262.3508	3.3000	overt	262.3800	314821	すみませんまた変なことばかり聞いてしまって
271.5008	6.4800	overt	271.5300	325801	分かりました僕が無実だったってことを結城先生に証明できるよう頑張ります
281.6408	7.8600	overt	281.6700	337969	僕の疑いを晴らすためにはどうすればいいのだろうどうにかして僕のアリバイを証明できればいいんだけど
305.3108	2.8200	overt	305.3400	366373	そうですか役に立ったようで
316.8308	3.1500	overt	316.8600	380197	真島さんの判断は正しいと思います
345.3308	1.6500	overt	345.3600	414397	間違いないでしょう
352.0808	1.1700	overt	352.1100	422497	おい坊主
355.2908	2.8500	overt	355.3200	426349	返事はどうした坊主ついてきやがれ
366.5708	15.6000	overt	366.6000	439885	はいすぐ行きますよそんでよ俺が話しているのは結城先生の自作自演の件どうよ調査進んでんのかもしかして大泉や自作自演って言葉は難しかったかもちろん分かりますそうもちろん
385.0508	2.0100	overt	385.0800	462061	マッチポンプってことです
388.7708	3.3900	overt	388.8000	466525	マッチポンプそうそれだ水から
393.1208	4.9200	overt	393.1500	471745	マッチで火をつけてそれをポンプで水をかけて消す
398.6408	1.6800	overt	398.6700	478369	ということですよね
401.7908	7.0200	overt	401.8200	482149	なんだただの坊主かと思いきやなかなか白色じゃねえかなんとか乗り切れたぞ
414.4208	1.4400	overt	414.4500	497305	頼りにしてるぜ
422.4908	4.8900	overt	422.5200	506989	自作自演が本当に可能だったのか不可能となる可能性が
