name	type	units	description	original_ch_numbers
EEG001	EEG	µV	g.Pangolin EEG electrode 001	0
EEG002	EEG	µV	g.Pangolin EEG electrode 002	1
EEG003	EEG	µV	g.Pangolin EEG electrode 003	2
EEG004	EEG	µV	g.Pangolin EEG electrode 004	3
EEG005	EEG	µV	g.Pangolin EEG electrode 005	4
EEG006	EEG	µV	g.Pangolin EEG electrode 006	5
EEG007	EEG	µV	g.Pangolin EEG electrode 007	6
EEG008	EEG	µV	g.Pangolin EEG electrode 008	7
EEG009	EEG	µV	g.Pangolin EEG electrode 009	8
EEG010	EEG	µV	g.Pangolin EEG electrode 010	9
EEG011	EEG	µV	g.Pangolin EEG electrode 011	10
EEG012	EEG	µV	g.Pangolin EEG electrode 012	11
EEG013	EEG	µV	g.Pangolin EEG electrode 013	12
EEG014	EEG	µV	g.Pangolin EEG electrode 014	13
EEG015	EEG	µV	g.Pangolin EEG electrode 015	14
EEG016	EEG	µV	g.Pangolin EEG electrode 016	15
EEG017	EEG	µV	g.Pangolin EEG electrode 017	16
EEG018	EEG	µV	g.Pangolin EEG electrode 018	17
EEG019	EEG	µV	g.Pangolin EEG electrode 019	18
EEG020	EEG	µV	g.Pangolin EEG electrode 020	19
EEG021	EEG	µV	g.Pangolin EEG electrode 021	20
EEG022	EEG	µV	g.Pangolin EEG electrode 022	21
EEG023	EEG	µV	g.Pangolin EEG electrode 023	22
EEG024	EEG	µV	g.Pangolin EEG electrode 024	23
EEG025	EEG	µV	g.Pangolin EEG electrode 025	24
EEG026	EEG	µV	g.Pangolin EEG electrode 026	25
EEG027	EEG	µV	g.Pangolin EEG electrode 027	26
EEG028	EEG	µV	g.Pangolin EEG electrode 028	27
EEG029	EEG	µV	g.Pangolin EEG electrode 029	28
EEG030	EEG	µV	g.Pangolin EEG electrode 030	29
EEG031	EEG	µV	g.Pangolin EEG electrode 031	30
EEG032	EEG	µV	g.Pangolin EEG electrode 032	31
EEG033	EEG	µV	g.Pangolin EEG electrode 033	32
EEG034	EEG	µV	g.Pangolin EEG electrode 034	33
EEG035	EEG	µV	g.Pangolin EEG electrode 035	34
EEG036	EEG	µV	g.Pangolin EEG electrode 036	35
EEG037	EEG	µV	g.Pangolin EEG electrode 037	36
