batch	sub	ses	run	task_kind	task_entity	recording_entity	person	participant	date	session	acq_time	sampling_frequency	n_channels	h5_shape	content	detailed_content	source_session	source_h5	source_wav	mirror_h5	mirror_wav	bids_h5	bids_edf	bids_eeg_json	bids_channels_tsv	bids_wav	bids_beh_json	listening_manifest
yuya-overt-pangolin-v2	sub-01	ses-20241001	run-02	overt	speechopen	recording-vocal_beh	yuya	P01	20241001	session2	2024-10-01T14:18:46	1200	140	3394x1200x140	book	環大西洋政治詩学	/mnt/ms-nas/shige/yuya/20241001/session2	/mnt/ms-nas/shige/yuya/20241001/session2/EEG_try2_140.h5	/mnt/ms-nas/shige/yuya/20241001/session2/2024-10-01 14-18-46_speaking.wav	/mnt/ms-nas/asahi/OpenNeuro_data/yuya/20241001/session2/EEG_try2_140.h5	/mnt/ms-nas/asahi/OpenNeuro_data/yuya/20241001/session2/2024-10-01 14-18-46_speaking.wav	/mnt/ms-nas/asahi/OpenNeuro_data/eeg_bids_dataset/sub-01/ses-20241001/eeg/sub-01_ses-20241001_task-speechopen_acq-pangolin_run-02_eeg.h5	/mnt/ms-nas/asahi/OpenNeuro_data/eeg_bids_dataset/sub-01/ses-20241001/eeg/sub-01_ses-20241001_task-speechopen_acq-pangolin_run-02_eeg.edf	/mnt/ms-nas/asahi/OpenNeuro_data/eeg_bids_dataset/sub-01/ses-20241001/eeg/sub-01_ses-20241001_task-speechopen_acq-pangolin_run-02_eeg.json	/mnt/ms-nas/asahi/OpenNeuro_data/eeg_bids_dataset/sub-01/ses-20241001/eeg/sub-01_ses-20241001_task-speechopen_acq-pangolin_run-02_channels.tsv	/mnt/ms-nas/asahi/OpenNeuro_data/eeg_bids_dataset/sub-01/ses-20241001/beh/sub-01_ses-20241001_task-speechopen_acq-pangolin_run-02_recording-vocal_beh.wav	/mnt/ms-nas/asahi/OpenNeuro_data/eeg_bids_dataset/sub-01/ses-20241001/beh/sub-01_ses-20241001_task-speechopen_acq-pangolin_run-02_recording-vocal_beh.json	
yuya-overt-pangolin-v2	sub-01	ses-20241001	run-03	overt	speechopen	recording-vocal_beh	yuya	P01	20241001	session3	2024-10-01T16:08:50	1200	140	4626x1200x140	book	環大西洋政治詩学	/mnt/ms-nas/shige/yuya/20241001/session3	/mnt/ms-nas/shige/yuya/20241001/session3/EEG_try3_140.h5	/mnt/ms-nas/shige/yuya/20241001/session3/2024-10-01 16-08-50_speaking.wav	/mnt/ms-nas/asahi/OpenNeuro_data/yuya/20241001/session3/EEG_try3_140.h5	/mnt/ms-nas/asahi/OpenNeuro_data/yuya/20241001/session3/2024-10-01 16-08-50_speaking.wav	/mnt/ms-nas/asahi/OpenNeuro_data/eeg_bids_dataset/sub-01/ses-20241001/eeg/sub-01_ses-20241001_task-speechopen_acq-pangolin_run-03_eeg.h5	/mnt/ms-nas/asahi/OpenNeuro_data/eeg_bids_dataset/sub-01/ses-20241001/eeg/sub-01_ses-20241001_task-speechopen_acq-pangolin_run-03_eeg.edf	/mnt/ms-nas/asahi/OpenNeuro_data/eeg_bids_dataset/sub-01/ses-20241001/eeg/sub-01_ses-20241001_task-speechopen_acq-pangolin_run-03_eeg.json	/mnt/ms-nas/asahi/OpenNeuro_data/eeg_bids_dataset/sub-01/ses-20241001/eeg/sub-01_ses-20241001_task-speechopen_acq-pangolin_run-03_channels.tsv	/mnt/ms-nas/asahi/OpenNeuro_data/eeg_bids_dataset/sub-01/ses-20241001/beh/sub-01_ses-20241001_task-speechopen_acq-pangolin_run-03_recording-vocal_beh.wav	/mnt/ms-nas/asahi/OpenNeuro_data/eeg_bids_dataset/sub-01/ses-20241001/beh/sub-01_ses-20241001_task-speechopen_acq-pangolin_run-03_recording-vocal_beh.json	
yuya-overt-pangolin-v2	sub-01	ses-20241001	run-04	overt	speechopen	recording-vocal_beh	yuya	P01	20241001	session4	2024-10-01T18:13:24	1200	140	965x1200x140	book	環大西洋政治詩学	/mnt/ms-nas/shige/yuya/20241001/session4	/mnt/ms-nas/shige/yuya/20241001/session4/EEG_try4_140.h5	/mnt/ms-nas/shige/yuya/20241001/session4/2024-10-01 18-13-24_speaking.wav	/mnt/ms-nas/asahi/OpenNeuro_data/yuya/20241001/session4/EEG_try4_140.h5	/mnt/ms-nas/asahi/OpenNeuro_data/yuya/20241001/session4/2024-10-01 18-13-24_speaking.wav	/mnt/ms-nas/asahi/OpenNeuro_data/eeg_bids_dataset/sub-01/ses-20241001/eeg/sub-01_ses-20241001_task-speechopen_acq-pangolin_run-04_eeg.h5	/mnt/ms-nas/asahi/OpenNeuro_data/eeg_bids_dataset/sub-01/ses-20241001/eeg/sub-01_ses-20241001_task-speechopen_acq-pangolin_run-04_eeg.edf	/mnt/ms-nas/asahi/OpenNeuro_data/eeg_bids_dataset/sub-01/ses-20241001/eeg/sub-01_ses-20241001_task-speechopen_acq-pangolin_run-04_eeg.json	/mnt/ms-nas/asahi/OpenNeuro_data/eeg_bids_dataset/sub-01/ses-20241001/eeg/sub-01_ses-20241001_task-speechopen_acq-pangolin_run-04_channels.tsv	/mnt/ms-nas/asahi/OpenNeuro_data/eeg_bids_dataset/sub-01/ses-20241001/beh/sub-01_ses-20241001_task-speechopen_acq-pangolin_run-04_recording-vocal_beh.wav	/mnt/ms-nas/asahi/OpenNeuro_data/eeg_bids_dataset/sub-01/ses-20241001/beh/sub-01_ses-20241001_task-speechopen_acq-pangolin_run-04_recording-vocal_beh.json	
yuya-overt-pangolin-v2	sub-01	ses-20241024	run-01	overt	speechopen	recording-vocal_beh	yuya	P01	20241024	session1	2024-10-24T14:36:18	1200	140	3133x1200x140	video game	The Cosmic Wheel Sisterhood	/mnt/ms-nas/shige/yuya/20241024/session1	/mnt/ms-nas/shige/yuya/20241024/session1/EEG_try1_140.h5	/mnt/ms-nas/shige/yuya/20241024/session1/2024-10-24 14-36-18_speaking.wav	/mnt/ms-nas/asahi/OpenNeuro_data/yuya/20241024/session1/EEG_try1_140.h5	/mnt/ms-nas/asahi/OpenNeuro_data/yuya/20241024/session1/2024-10-24 14-36-18_speaking.wav	/mnt/ms-nas/asahi/OpenNeuro_data/eeg_bids_dataset/sub-01/ses-20241024/eeg/sub-01_ses-20241024_task-speechopen_acq-pangolin_run-01_eeg.h5	/mnt/ms-nas/asahi/OpenNeuro_data/eeg_bids_dataset/sub-01/ses-20241024/eeg/sub-01_ses-20241024_task-speechopen_acq-pangolin_run-01_eeg.edf	/mnt/ms-nas/asahi/OpenNeuro_data/eeg_bids_dataset/sub-01/ses-20241024/eeg/sub-01_ses-20241024_task-speechopen_acq-pangolin_run-01_eeg.json	/mnt/ms-nas/asahi/OpenNeuro_data/eeg_bids_dataset/sub-01/ses-20241024/eeg/sub-01_ses-20241024_task-speechopen_acq-pangolin_run-01_channels.tsv	/mnt/ms-nas/asahi/OpenNeuro_data/eeg_bids_dataset/sub-01/ses-20241024/beh/sub-01_ses-20241024_task-speechopen_acq-pangolin_run-01_recording-vocal_beh.wav	/mnt/ms-nas/asahi/OpenNeuro_data/eeg_bids_dataset/sub-01/ses-20241024/beh/sub-01_ses-20241024_task-speechopen_acq-pangolin_run-01_recording-vocal_beh.json	
yuya-overt-pangolin-v2	sub-01	ses-20241024	run-02	overt	speechopen	recording-vocal_beh	yuya	P01	20241024	session2	2024-10-24T16:09:16	1200	140	5814x1200x140	video game	The Cosmic Wheel Sisterhood	/mnt/ms-nas/shige/yuya/20241024/session2	/mnt/ms-nas/shige/yuya/20241024/session2/EEG_try2_140.h5	/mnt/ms-nas/shige/yuya/20241024/session2/2024-10-24 16-09-16_speaking.wav	/mnt/ms-nas/asahi/OpenNeuro_data/yuya/20241024/session2/EEG_try2_140.h5	/mnt/ms-nas/asahi/OpenNeuro_data/yuya/20241024/session2/2024-10-24 16-09-16_speaking.wav	/mnt/ms-nas/asahi/OpenNeuro_data/eeg_bids_dataset/sub-01/ses-20241024/eeg/sub-01_ses-20241024_task-speechopen_acq-pangolin_run-02_eeg.h5	/mnt/ms-nas/asahi/OpenNeuro_data/eeg_bids_dataset/sub-01/ses-20241024/eeg/sub-01_ses-20241024_task-speechopen_acq-pangolin_run-02_eeg.edf	/mnt/ms-nas/asahi/OpenNeuro_data/eeg_bids_dataset/sub-01/ses-20241024/eeg/sub-01_ses-20241024_task-speechopen_acq-pangolin_run-02_eeg.json	/mnt/ms-nas/asahi/OpenNeuro_data/eeg_bids_dataset/sub-01/ses-20241024/eeg/sub-01_ses-20241024_task-speechopen_acq-pangolin_run-02_channels.tsv	/mnt/ms-nas/asahi/OpenNeuro_data/eeg_bids_dataset/sub-01/ses-20241024/beh/sub-01_ses-20241024_task-speechopen_acq-pangolin_run-02_recording-vocal_beh.wav	/mnt/ms-nas/asahi/OpenNeuro_data/eeg_bids_dataset/sub-01/ses-20241024/beh/sub-01_ses-20241024_task-speechopen_acq-pangolin_run-02_recording-vocal_beh.json	
yuya-overt-pangolin-v2	sub-01	ses-20241024	run-03	overt	speechopen	recording-vocal_beh	yuya	P01	20241024	session3	2024-10-24T18:21:11	1200	140	3761x1200x140	book	泡の子	/mnt/ms-nas/shige/yuya/20241024/session3	/mnt/ms-nas/shige/yuya/20241024/session3/EEG_try3_140.h5	/mnt/ms-nas/shige/yuya/20241024/session3/2024-10-24 18-21-11_speaking.wav	/mnt/ms-nas/asahi/OpenNeuro_data/yuya/20241024/session3/EEG_try3_140.h5	/mnt/ms-nas/asahi/OpenNeuro_data/yuya/20241024/session3/2024-10-24 18-21-11_speaking.wav	/mnt/ms-nas/asahi/OpenNeuro_data/eeg_bids_dataset/sub-01/ses-20241024/eeg/sub-01_ses-20241024_task-speechopen_acq-pangolin_run-03_eeg.h5	/mnt/ms-nas/asahi/OpenNeuro_data/eeg_bids_dataset/sub-01/ses-20241024/eeg/sub-01_ses-20241024_task-speechopen_acq-pangolin_run-03_eeg.edf	/mnt/ms-nas/asahi/OpenNeuro_data/eeg_bids_dataset/sub-01/ses-20241024/eeg/sub-01_ses-20241024_task-speechopen_acq-pangolin_run-03_eeg.json	/mnt/ms-nas/asahi/OpenNeuro_data/eeg_bids_dataset/sub-01/ses-20241024/eeg/sub-01_ses-20241024_task-speechopen_acq-pangolin_run-03_channels.tsv	/mnt/ms-nas/asahi/OpenNeuro_data/eeg_bids_dataset/sub-01/ses-20241024/beh/sub-01_ses-20241024_task-speechopen_acq-pangolin_run-03_recording-vocal_beh.wav	/mnt/ms-nas/asahi/OpenNeuro_data/eeg_bids_dataset/sub-01/ses-20241024/beh/sub-01_ses-20241024_task-speechopen_acq-pangolin_run-03_recording-vocal_beh.json	
yuya-overt-pangolin-v2	sub-01	ses-20241028	run-01	overt	speechopen	recording-vocal_beh	yuya	P01	20241028	session1	2024-10-28T14:30:11	1200	140	4068x1200x140	book	泡の子	/mnt/ms-nas/shige/yuya/20241028/session1	/mnt/ms-nas/shige/yuya/20241028/session1/EEG_try1_140.h5	/mnt/ms-nas/shige/yuya/20241028/session1/2024-10-28 14-30-11_speaking.wav	/mnt/ms-nas/asahi/OpenNeuro_data/yuya/20241028/session1/EEG_try1_140.h5	/mnt/ms-nas/asahi/OpenNeuro_data/yuya/20241028/session1/2024-10-28 14-30-11_speaking.wav	/mnt/ms-nas/asahi/OpenNeuro_data/eeg_bids_dataset/sub-01/ses-20241028/eeg/sub-01_ses-20241028_task-speechopen_acq-pangolin_run-01_eeg.h5	/mnt/ms-nas/asahi/OpenNeuro_data/eeg_bids_dataset/sub-01/ses-20241028/eeg/sub-01_ses-20241028_task-speechopen_acq-pangolin_run-01_eeg.edf	/mnt/ms-nas/asahi/OpenNeuro_data/eeg_bids_dataset/sub-01/ses-20241028/eeg/sub-01_ses-20241028_task-speechopen_acq-pangolin_run-01_eeg.json	/mnt/ms-nas/asahi/OpenNeuro_data/eeg_bids_dataset/sub-01/ses-20241028/eeg/sub-01_ses-20241028_task-speechopen_acq-pangolin_run-01_channels.tsv	/mnt/ms-nas/asahi/OpenNeuro_data/eeg_bids_dataset/sub-01/ses-20241028/beh/sub-01_ses-20241028_task-speechopen_acq-pangolin_run-01_recording-vocal_beh.wav	/mnt/ms-nas/asahi/OpenNeuro_data/eeg_bids_dataset/sub-01/ses-20241028/beh/sub-01_ses-20241028_task-speechopen_acq-pangolin_run-01_recording-vocal_beh.json	
yuya-overt-pangolin-v2	sub-01	ses-20241028	run-02	overt	speechopen	recording-vocal_beh	yuya	P01	20241028	session2	2024-10-28T16:28:13	1200	140	3635x1200x140	book	泡の子	/mnt/ms-nas/shige/yuya/20241028/session2	/mnt/ms-nas/shige/yuya/20241028/session2/EEG_try2_140.h5	/mnt/ms-nas/shige/yuya/20241028/session2/2024-10-28 16-28-13_speaking.wav	/mnt/ms-nas/asahi/OpenNeuro_data/yuya/20241028/session2/EEG_try2_140.h5	/mnt/ms-nas/asahi/OpenNeuro_data/yuya/20241028/session2/2024-10-28 16-28-13_speaking.wav	/mnt/ms-nas/asahi/OpenNeuro_data/eeg_bids_dataset/sub-01/ses-20241028/eeg/sub-01_ses-20241028_task-speechopen_acq-pangolin_run-02_eeg.h5	/mnt/ms-nas/asahi/OpenNeuro_data/eeg_bids_dataset/sub-01/ses-20241028/eeg/sub-01_ses-20241028_task-speechopen_acq-pangolin_run-02_eeg.edf	/mnt/ms-nas/asahi/OpenNeuro_data/eeg_bids_dataset/sub-01/ses-20241028/eeg/sub-01_ses-20241028_task-speechopen_acq-pangolin_run-02_eeg.json	/mnt/ms-nas/asahi/OpenNeuro_data/eeg_bids_dataset/sub-01/ses-20241028/eeg/sub-01_ses-20241028_task-speechopen_acq-pangolin_run-02_channels.tsv	/mnt/ms-nas/asahi/OpenNeuro_data/eeg_bids_dataset/sub-01/ses-20241028/beh/sub-01_ses-20241028_task-speechopen_acq-pangolin_run-02_recording-vocal_beh.wav	/mnt/ms-nas/asahi/OpenNeuro_data/eeg_bids_dataset/sub-01/ses-20241028/beh/sub-01_ses-20241028_task-speechopen_acq-pangolin_run-02_recording-vocal_beh.json	
yuya-overt-pangolin-v2	sub-01	ses-20241028	run-03	overt	speechopen	recording-vocal_beh	yuya	P01	20241028	session3	2024-10-28T18:09:18	1200	140	272x1200x140	book	泡の子	/mnt/ms-nas/shige/yuya/20241028/session3	/mnt/ms-nas/shige/yuya/20241028/session3/EEG_try3_140.h5	/mnt/ms-nas/shige/yuya/20241028/session3/2024-10-28 18-09-18_speaking.wav	/mnt/ms-nas/asahi/OpenNeuro_data/yuya/20241028/session3/EEG_try3_140.h5	/mnt/ms-nas/asahi/OpenNeuro_data/yuya/20241028/session3/2024-10-28 18-09-18_speaking.wav	/mnt/ms-nas/asahi/OpenNeuro_data/eeg_bids_dataset/sub-01/ses-20241028/eeg/sub-01_ses-20241028_task-speechopen_acq-pangolin_run-03_eeg.h5	/mnt/ms-nas/asahi/OpenNeuro_data/eeg_bids_dataset/sub-01/ses-20241028/eeg/sub-01_ses-20241028_task-speechopen_acq-pangolin_run-03_eeg.edf	/mnt/ms-nas/asahi/OpenNeuro_data/eeg_bids_dataset/sub-01/ses-20241028/eeg/sub-01_ses-20241028_task-speechopen_acq-pangolin_run-03_eeg.json	/mnt/ms-nas/asahi/OpenNeuro_data/eeg_bids_dataset/sub-01/ses-20241028/eeg/sub-01_ses-20241028_task-speechopen_acq-pangolin_run-03_channels.tsv	/mnt/ms-nas/asahi/OpenNeuro_data/eeg_bids_dataset/sub-01/ses-20241028/beh/sub-01_ses-20241028_task-speechopen_acq-pangolin_run-03_recording-vocal_beh.wav	/mnt/ms-nas/asahi/OpenNeuro_data/eeg_bids_dataset/sub-01/ses-20241028/beh/sub-01_ses-20241028_task-speechopen_acq-pangolin_run-03_recording-vocal_beh.json	
yuya-overt-pangolin-v2	sub-01	ses-20241031	run-01	overt	speechopen	recording-vocal_beh	yuya	P01	20241031	session1	2024-10-31T15:29:09	1200	140	4510x1200x140	video game	Slay the Princess	/mnt/ms-nas/shige/yuya/20241031/session1	/mnt/ms-nas/shige/yuya/20241031/session1/EEG_try1_140.h5	/mnt/ms-nas/shige/yuya/20241031/session1/2024-10-31 15-29-09_speaking.wav	/mnt/ms-nas/asahi/OpenNeuro_data/yuya/20241031/session1/EEG_try1_140.h5	/mnt/ms-nas/asahi/OpenNeuro_data/yuya/20241031/session1/2024-10-31 15-29-09_speaking.wav	/mnt/ms-nas/asahi/OpenNeuro_data/eeg_bids_dataset/sub-01/ses-20241031/eeg/sub-01_ses-20241031_task-speechopen_acq-pangolin_run-01_eeg.h5	/mnt/ms-nas/asahi/OpenNeuro_data/eeg_bids_dataset/sub-01/ses-20241031/eeg/sub-01_ses-20241031_task-speechopen_acq-pangolin_run-01_eeg.edf	/mnt/ms-nas/asahi/OpenNeuro_data/eeg_bids_dataset/sub-01/ses-20241031/eeg/sub-01_ses-20241031_task-speechopen_acq-pangolin_run-01_eeg.json	/mnt/ms-nas/asahi/OpenNeuro_data/eeg_bids_dataset/sub-01/ses-20241031/eeg/sub-01_ses-20241031_task-speechopen_acq-pangolin_run-01_channels.tsv	/mnt/ms-nas/asahi/OpenNeuro_data/eeg_bids_dataset/sub-01/ses-20241031/beh/sub-01_ses-20241031_task-speechopen_acq-pangolin_run-01_recording-vocal_beh.wav	/mnt/ms-nas/asahi/OpenNeuro_data/eeg_bids_dataset/sub-01/ses-20241031/beh/sub-01_ses-20241031_task-speechopen_acq-pangolin_run-01_recording-vocal_beh.json	
