sub	ses	run	acq_time	source_session	source_listening_wav	source_speaking_wav
sub-01	ses-20241107	run-02	2024-11-07T17:02:31	/mnt/ms-nas/shige/yuya/20241107/session2	/mnt/ms-nas/shige/yuya/20241107/session2/2024-11-07 17-02-31_listening.wav	/mnt/ms-nas/shige/yuya/20241107/session2/2024-11-07 17-02-31_speaking.wav
sub-01	ses-20241107	run-03	2024-11-07T17:48:11	/mnt/ms-nas/shige/yuya/20241107/session3	/mnt/ms-nas/shige/yuya/20241107/session3/2024-11-07 17-48-11_listening.wav	/mnt/ms-nas/shige/yuya/20241107/session3/2024-11-07 17-48-11_speaking.wav
sub-01	ses-20241107	run-04	2024-11-07T18:45:28	/mnt/ms-nas/shige/yuya/20241107/session4	/mnt/ms-nas/shige/yuya/20241107/session4/2024-11-07 18-45-28_listening.wav	/mnt/ms-nas/shige/yuya/20241107/session4/2024-11-07 18-45-28_speaking.wav
sub-01	ses-20241108	run-03	2024-11-08T15:27:58	/mnt/ms-nas/shige/yuya/20241108/session3	/mnt/ms-nas/shige/yuya/20241108/session3/2024-11-08 15-27-58_listening.wav	/mnt/ms-nas/shige/yuya/20241108/session3/2024-11-08 15-27-58_speaking.wav
sub-01	ses-20241108	run-04	2024-11-08T18:16:22	/mnt/ms-nas/shige/yuya/20241108/session4	/mnt/ms-nas/shige/yuya/20241108/session4/2024-11-08 18-16-22_listening.wav	/mnt/ms-nas/shige/yuya/20241108/session4/2024-11-08 18-16-22_speaking.wav
sub-01	ses-20241114	run-02	2024-11-14T15:09:17	/mnt/ms-nas/shige/yuya/20241114/session2	/mnt/ms-nas/shige/yuya/20241114/session2/2024-11-14 15-09-17_listening.wav	/mnt/ms-nas/shige/yuya/20241114/session2/2024-11-14 15-09-17_speaking.wav
sub-01	ses-20241114	run-03	2024-11-14T16:08:53	/mnt/ms-nas/shige/yuya/20241114/session3	/mnt/ms-nas/shige/yuya/20241114/session3/2024-11-14 16-08-53_listening.wav	/mnt/ms-nas/shige/yuya/20241114/session3/2024-11-14 16-08-53_speaking.wav
sub-01	ses-20241115	run-02	2024-11-15T17:38:13	/mnt/ms-nas/shige/yuya/20241115/session2	/mnt/ms-nas/shige/yuya/20241115/session2/2024-11-15 17-38-13_listening.wav	/mnt/ms-nas/shige/yuya/20241115/session2/2024-11-15 17-38-13_speaking.wav
sub-01	ses-20241115	run-03	2024-11-15T18:30:09	/mnt/ms-nas/shige/yuya/20241115/session3	/mnt/ms-nas/shige/yuya/20241115/session3/2024-11-15 18-30-09_listening.wav	/mnt/ms-nas/shige/yuya/20241115/session3/2024-11-15 18-30-09_speaking.wav
sub-01	ses-20241118	run-01	2024-11-18T15:19:08	/mnt/ms-nas/shige/yuya/20241118/session1	/mnt/ms-nas/shige/yuya/20241118/session1/2024-11-18 15-19-08_listening.wav	/mnt/ms-nas/shige/yuya/20241118/session1/2024-11-18 15-19-08_speaking.wav
sub-01	ses-20241118	run-02	2024-11-18T15:53:43	/mnt/ms-nas/shige/yuya/20241118/session2	/mnt/ms-nas/shige/yuya/20241118/session2/2024-11-18 15-53-43_listening.wav	/mnt/ms-nas/shige/yuya/20241118/session2/2024-11-18 15-53-43_speaking.wav
sub-01	ses-20241118	run-03	2024-11-18T17:07:09	/mnt/ms-nas/shige/yuya/20241118/session3	/mnt/ms-nas/shige/yuya/20241118/session3/2024-11-18 17-07-09_listening.wav	/mnt/ms-nas/shige/yuya/20241118/session3/2024-11-18 17-07-09_speaking.wav
sub-01	ses-20241118	run-04	2024-11-18T17:41:09	/mnt/ms-nas/shige/yuya/20241118/session4	/mnt/ms-nas/shige/yuya/20241118/session4/2024-11-18 17-41-09_listening.wav	/mnt/ms-nas/shige/yuya/20241118/session4/2024-11-18 17-41-09_speaking.wav
sub-01	ses-20241118	run-05	2024-11-18T18:41:09	/mnt/ms-nas/shige/yuya/20241118/session5	/mnt/ms-nas/shige/yuya/20241118/session5/2024-11-18 18-41-09_listening.wav	/mnt/ms-nas/shige/yuya/20241118/session5/2024-11-18 18-41-09_speaking.wav
sub-01	ses-20241118	run-06	2024-11-18T19:13:53	/mnt/ms-nas/shige/yuya/20241118/session6	/mnt/ms-nas/shige/yuya/20241118/session6/2024-11-18 19-13-53_listening.wav	/mnt/ms-nas/shige/yuya/20241118/session6/2024-11-18 19-13-53_speaking.wav
sub-01	ses-20241119	run-01	2024-11-19T14:44:46	/mnt/ms-nas/shige/yuya/20241119/session1	/mnt/ms-nas/shige/yuya/20241119/session1/2024-11-19 14-44-46_listening.wav	/mnt/ms-nas/shige/yuya/20241119/session1/2024-11-19 14-44-46_speaking.wav
sub-01	ses-20241119	run-02	2024-11-19T15:20:25	/mnt/ms-nas/shige/yuya/20241119/session2	/mnt/ms-nas/shige/yuya/20241119/session2/2024-11-19 15-20-25_listening.wav	/mnt/ms-nas/shige/yuya/20241119/session2/2024-11-19 15-20-25_speaking.wav
sub-01	ses-20241119	run-03	2024-11-19T16:46:17	/mnt/ms-nas/shige/yuya/20241119/session3	/mnt/ms-nas/shige/yuya/20241119/session3/2024-11-19 16-46-17_listening.wav	/mnt/ms-nas/shige/yuya/20241119/session3/2024-11-19 16-46-17_speaking.wav
sub-01	ses-20241119	run-04	2024-11-19T18:24:21	/mnt/ms-nas/shige/yuya/20241119/session4	/mnt/ms-nas/shige/yuya/20241119/session4/2024-11-19 18-24-21_listening.wav	/mnt/ms-nas/shige/yuya/20241119/session4/2024-11-19 18-24-21_speaking.wav
